Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
HINDALCO,40,428.94,473.25,189773.25,17767.9,10.33,0.63
PFC,85,130.79,141.15,119977.5,8810,7.92,1.99
GRAVITA,30,420.28,449.6,134880,8796.25,6.98,1.96
ONGC,80,137.93,146.8,117440,7100,6.43,1.31
CANBK,80,313.55,333.3,266640,15800.25,6.3,3.78
SHYAMMETL,17,295.79,313.6,53312,3026.95,6.02,2.42
CHEMPLASTS,12,431.86,457.65,57206.25,3223.5,5.97,1.09
BAYERCROP,2,4671.42,4937.4,98748,5319.7,5.69,0.78
BALKRISIND,10,2013.77,2127.65,212765,11387.55,5.65,1.31
PRICOLLTD,27,182.05,190.85,52483.75,2421.05,4.84,0.98
RECLTD,100,111.48,116.5,116500,5022.5,4.51,2.33
JWL,120,88.44,91.8,110160,4029.25,3.8,0.49
HARIOMPIPE,10,348.44,359.6,36319.6,1127.2,3.2,0.5
COALINDIA,75,218.38,225.05,168787.5,5000.85,3.05,1.53
TVSMOTOR,8,1055.87,1085.4,81405,2215,2.8,-1.42
MPHASIS,3,1921.52,1974,59220,1574.5,2.73,2.03
HINDZINC,60,313.26,321.7,193020,5064.8,2.69,-1.38
APOLLOTYRE,16,316,324.45,51912,1352.75,2.68,-0.64
VEDL,200,301.16,308.4,616800,14477.6,2.4,0.42
GAIL,300,94.11,96.1,288300,5981.7,2.12,0.1
RELIANCE,12,2495.23,2547.2,305664,6236.9,2.08,0.15
AARTIIND,20,599.2,610.4,122080,2240.27,1.87,-0.11
AXISBANK,36,918.56,933.85,336186,5505.55,1.66,-0.12
BHARATFORG,15,869.36,879.85,131977.5,1574,1.21,0.21
GSFC,100,139.07,139.8,139800,725,0.52,1.53
HDFCBANK,15,1620.08,1628.15,244222.5,1210.4,0.5,-0.8
M&M,30,1245.42,1249.2,374760,1134.1,0.3,-1.04
BAJAJ-AUTO,6,3626.81,3625,217500,-108.75,-0.05,1.51
EXIDEIND,112,180.93,180.25,202781.25,-760.2,-0.37,1.72
HEROMOTOCO,25,2750.34,2737.05,684262.5,-3322.9,-0.48,0.44
BRITANNIA,4,4342.63,4306.65,172266,-1439.35,-0.83,-1.08
TITAN,5,2620.64,2597.5,129875,-1156.85,-0.88,1.73
HINDCOPPER,100,110.77,109.6,109600,-1173.35,-1.06,0.6
INDUSINDBK,6,1235.45,1220.1,73206,-921,-1.24,-0.9
ASIANPAINT,6,3140.86,3091.8,170049,-2698.55,-1.56,-0.75
TATASTEEL,250,114.47,112.65,281625,-4540.35,-1.59,0.81
LT,5,2120.43,2085.8,104290,-1731.25,-1.63,-1.19
MARUTI,2,8542.64,8401.95,168039,-2813.8,-1.65,-0.43
KOTAKBANK,10,1861.58,1827.25,182725,-3432.5,-1.84,0.47
PIIND,2,3498.4,3433.85,51507.75,-968.2,-1.85,0.49
PFIZER,3,4513.99,4429.2,132876,-2543.75,-1.88,-1.48
RKFORGE,40,268.39,262.4,104960,-2394.65,-2.23,0.4
GODREJCP,10,896.32,874.05,87405,-2227,-2.48,-1.35
MARICO,25,524.4,509.85,127462.5,-3637.4,-2.77,-1.12
LINDEINDIA,1,3525.53,3427.65,34276.5,-978.75,-2.78,0.85
ULTRACEMCO,2,7160.74,6959.05,104385.75,-3025.3,-2.82,-0.39
DMART,6,4199.59,4070.75,244245,-7730.3,-3.07,-2.58
INFY,37,1558.11,1508.2,558034,-18466.8,-3.2,-0.62
HINDPETRO,80,242.94,235,188000,-6349.2,-3.27,0.77
HINDUNILVR,10,2647.97,2561.05,256105,-8692.45,-3.28,-0.27
LUXIND,3,1699.46,1642.65,49279.5,-1704.3,-3.34,-1.19
REDINGTON,100,187.13,180.7,180700,-6432.25,-3.44,-0.5
ICICIBANK,11,923.12,890.85,97993.5,-3549.48,-3.5,-1.89
PNB,250,58.57,56.45,141125,-5290.85,-3.61,1.9
LTTS,5,3827.48,3683.55,184177.5,-7196.65,-3.76,0.66
DEEPAKFERT,30,744.01,715.45,214635,-8568.8,-3.84,0.97
BSOFT,80,310.71,298.75,239000,-9566.5,-3.85,1.93
BAJAJFINSV,5,1613.38,1548.45,77422.5,-3246.45,-4.02,2.21
ZYDUSLIFE,25,437.77,420.15,105037.5,-4404.5,-4.02,0.67
HCLTECH,35,1083.19,1039,363650,-15467.7,-4.08,-0.53
